,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,SOURCE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySkyConditions,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,Sunrise,Sunset,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,AWND,CDSD,CLDD,DSNW,HDSD,HTDD,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,REM,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,WindEquipmentChangeDate
30,72505394728,2012-01-01T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,720.0,1639.0,,,,,,,,,,,,,,,,,,,,RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
244,72505394728,2012-01-10T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,720.0,1648.0,,,,,,,,,,,,,,,,,,,,HZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
274,72505394728,2012-01-11T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,720.0,1649.0,,,,,,,,,,,,,,,,,,,,RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
326,72505394728,2012-01-12T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,719.0,1650.0,,,,,,,,,,,,,,,,,,,,RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
362,72505394728,2012-01-13T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,719.0,1651.0,,,,,,,,,,,,,,,,,,,,RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
435,72505394728,2012-01-16T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,718.0,1654.0,,,,,,,,,,,,,,,,,,,,RA SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
472,72505394728,2012-01-17T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,717.0,1655.0,,,,,,,,,,,,,,,,,,,,RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
590,72505394728,2012-01-21T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,715.0,1700.0,,,,,,,,,,,,,,,,,,,,SN FG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
669,72505394728,2012-01-23T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,714.0,1702.0,,,,,,,,,,,,,,,,,,,,RA FG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
754,72505394728,2012-01-26T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,712.0,1706.0,,,,,,,,,,,,,,,,,,,,RA SN BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
805,72505394728,2012-01-27T23:59:00,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",SOD  ,O,,,,,,,,,,,,,,,,,711.0,1707.0,,,,,,,,,,,,,,,,,,,,RA FG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESE,0.5,mi,SNOW,,SNOWBOARD,,,CENTRAL PARK ZOO,2006-09-18
