,date,windspeed
25,2014-01-01T23:59:00,5.6
59,2014-01-02T23:59:00,12.2
97,2014-01-03T23:59:00,10.4
123,2014-01-04T23:59:00,4.8
176,2014-01-05T23:59:00,3.7
227,2014-01-06T23:59:00,8.5
252,2014-01-07T23:59:00,13.1
277,2014-01-08T23:59:00,7.1
302,2014-01-09T23:59:00,2.9
361,2014-01-10T23:59:00,3.4
430,2014-01-11T23:59:00,7.1
461,2014-01-12T23:59:00,8.2
485,2014-01-13T23:59:00,5.2
509,2014-01-14T23:59:00,5.0
532,2014-01-15T23:59:00,3.0
557,2014-01-16T23:59:00,4.0
582,2014-01-17T23:59:00,3.6
605,2014-01-18T23:59:00,7.2
630,2014-01-19T23:59:00,7.3
655,2014-01-20T23:59:00,7.4
680,2014-01-21T23:59:00,10.4
705,2014-01-22T23:59:00,8.8
728,2014-01-23T23:59:00,7.2
753,2014-01-24T23:59:00,8.1
777,2014-01-25T23:59:00,7.6
800,2014-01-26T23:59:00,
825,2014-01-27T23:59:00,7.8
849,2014-01-28T23:59:00,6.1
874,2014-01-29T23:59:00,6.4
899,2014-01-30T23:59:00,3.8
926,2014-01-31T23:59:00,5.0
952,2014-02-01T23:59:00,3.5
980,2014-02-02T23:59:00,3.1
1029,2014-02-03T23:59:00,6.7
1062,2014-02-04T23:59:00,2.2
1123,2014-02-05T23:59:00,7.1
1150,2014-02-06T23:59:00,4.0
1175,2014-02-07T23:59:00,6.8
1200,2014-02-08T23:59:00,5.0
1244,2014-02-09T23:59:00,3.5
1269,2014-02-10T23:59:00,7.2
1294,2014-02-11T23:59:00,5.3
1322,2014-02-12T23:59:00,5.8
1377,2014-02-13T23:59:00,12.6
1415,2014-02-14T23:59:00,10.4
1455,2014-02-15T23:59:00,9.3
1480,2014-02-16T23:59:00,9.0
1505,2014-02-17T23:59:00,5.4
1543,2014-02-18T23:59:00,5.1
1577,2014-02-19T23:59:00,5.2
1611,2014-02-20T23:59:00,5.0
1658,2014-02-21T23:59:00,7.3
1683,2014-02-22T23:59:00,7.2
1708,2014-02-23T23:59:00,5.4
1733,2014-02-24T23:59:00,9.3
1758,2014-02-25T23:59:00,7.0
1793,2014-02-26T23:59:00,5.4
