,date,windspeed
0,2012-01-01T23:59:00,
1,2012-01-10T23:59:00,
2,2012-01-11T23:59:00,
3,2012-01-12T23:59:00,
4,2012-01-13T23:59:00,
5,2012-01-16T23:59:00,
6,2012-01-17T23:59:00,
7,2012-01-21T23:59:00,
8,2012-01-23T23:59:00,
9,2012-01-26T23:59:00,
10,2012-01-27T23:59:00,
11,2012-02-01T23:59:00,
12,2012-02-08T23:59:00,
13,2012-02-09T23:59:00,
14,2012-02-10T23:59:00,
15,2012-02-11T23:59:00,
16,2012-02-12T23:59:00,
17,2012-02-14T23:59:00,
18,2012-02-15T23:59:00,
19,2012-02-16T23:59:00,
20,2012-02-17T23:59:00,
21,2012-02-18T23:59:00,
22,2012-02-24T23:59:00,
23,2012-02-29T23:59:00,
24,2012-03-01T23:59:00,
25,2012-03-02T23:59:00,
26,2012-03-03T23:59:00,
27,2012-03-09T23:59:00,
28,2012-03-13T23:59:00,
29,2012-03-15T23:59:00,
30,2012-03-16T23:59:00,
31,2012-03-17T23:59:00,
32,2012-03-18T23:59:00,
33,2012-03-19T23:59:00,
34,2012-03-20T23:59:00,
35,2012-03-21T23:59:00,
36,2012-03-22T23:59:00,
37,2012-03-24T23:59:00,
38,2012-03-25T23:59:00,
39,2012-03-28T23:59:00,
40,2012-03-30T23:59:00,
41,2012-03-31T23:59:00,
42,2012-04-01T23:59:00,
43,2012-04-02T23:59:00,
44,2012-04-11T23:59:00,
45,2012-04-14T23:59:00,
46,2012-04-15T23:59:00,
47,2012-04-18T23:59:00,
48,2012-04-19T23:59:00,
49,2012-04-20T23:59:00,
50,2012-04-21T23:59:00,
51,2012-04-22T23:59:00,
52,2012-04-23T23:59:00,
53,2012-04-26T23:59:00,
54,2012-04-27T23:59:00,
55,2012-05-01T23:59:00,
56,2012-05-02T23:59:00,
57,2012-05-03T23:59:00,
58,2012-05-04T23:59:00,
59,2012-05-05T23:59:00,
60,2012-05-06T23:59:00,
61,2012-05-07T23:59:00,
62,2012-05-08T23:59:00,
63,2012-05-09T23:59:00,
64,2012-05-10T23:59:00,
65,2012-05-14T23:59:00,
66,2012-05-15T23:59:00,
67,2012-05-16T23:59:00,
68,2012-05-21T23:59:00,
69,2012-05-22T23:59:00,
70,2012-05-23T23:59:00,
71,2012-05-24T23:59:00,
72,2012-05-25T23:59:00,
73,2012-05-26T23:59:00,
74,2012-05-27T23:59:00,
75,2012-05-29T23:59:00,
76,2012-06-01T23:59:00,
77,2012-06-02T23:59:00,
78,2012-06-03T23:59:00,
79,2012-06-04T23:59:00,
80,2012-06-06T23:59:00,
81,2012-06-09T23:59:00,
82,2012-06-12T23:59:00,
83,2012-06-13T23:59:00,
84,2012-06-15T23:59:00,
85,2012-06-20T23:59:00,
86,2012-06-22T23:59:00,
87,2012-06-23T23:59:00,
88,2012-06-24T23:59:00,
89,2012-06-25T23:59:00,
90,2012-06-29T23:59:00,
91,2012-07-04T23:59:00,
92,2012-07-07T23:59:00,
93,2012-07-08T23:59:00,
94,2012-07-15T23:59:00,
95,2012-07-18T23:59:00,
96,2012-07-19T23:59:00,
97,2012-07-20T23:59:00,
98,2012-07-23T23:59:00,
99,2012-07-24T23:59:00,
100,2012-07-26T23:59:00,
101,2012-07-28T23:59:00,
102,2012-07-29T23:59:00,
103,2012-07-31T23:59:00,3.8
104,2012-08-01T23:59:00,2.3
105,2012-08-02T23:59:00,2.7
106,2012-08-03T23:59:00,3.5
107,2012-08-04T23:59:00,3.1
108,2012-08-05T23:59:00,6.0
109,2012-08-06T23:59:00,3.6
110,2012-08-07T23:59:00,2.0
111,2012-08-08T23:59:00,1.2
112,2012-08-09T23:59:00,2.8
113,2012-08-10T23:59:00,4.2
114,2012-08-11T23:59:00,4.5
115,2012-08-12T23:59:00,4.8
116,2012-08-13T23:59:00,4.2
117,2012-08-14T23:59:00,2.2
118,2012-08-15T23:59:00,2.8
119,2012-08-16T23:59:00,3.4
120,2012-08-17T23:59:00,4.0
121,2012-08-18T23:59:00,3.3
122,2012-08-19T23:59:00,1.2
123,2012-08-20T23:59:00,1.2
124,2012-08-21T23:59:00,3.1
125,2012-08-22T23:59:00,2.1
126,2012-08-23T23:59:00,2.1
127,2012-08-24T23:59:00,2.0
128,2012-08-25T23:59:00,3.5
129,2012-08-26T23:59:00,4.8
130,2012-08-27T23:59:00,3.8
131,2012-08-28T23:59:00,6.3
132,2012-08-29T23:59:00,4.5
133,2012-08-30T23:59:00,3.6
134,2012-08-31T23:59:00,4.7
135,2012-09-01T23:59:00,5.0
136,2012-09-02T23:59:00,2.7
137,2012-09-03T23:59:00,6.6
138,2012-09-04T23:59:00,3.9
139,2012-09-05T23:59:00,3.9
140,2012-09-06T23:59:00,2.4
141,2012-09-07T23:59:00,2.9
142,2012-09-08T23:59:00,4.5
143,2012-09-09T23:59:00,3.1
144,2012-09-10T23:59:00,5.2
145,2012-09-11T23:59:00,2.9
146,2012-09-12T23:59:00,3.2
147,2012-09-13T23:59:00,2.5
148,2012-09-14T23:59:00,3.7
149,2012-09-15T23:59:00,4.4
150,2012-09-16T23:59:00,2.1
151,2012-09-17T23:59:00,2.9
152,2012-09-18T23:59:00,6.3
153,2012-09-19T23:59:00,5.1
154,2012-09-20T23:59:00,5.5
155,2012-09-21T23:59:00,4.8
156,2012-09-22T23:59:00,3.2
157,2012-09-23T23:59:00,6.2
